,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,Longyearbyen,78.2186,15.6401,39.04,81,20,14.97,SJ,1630106732
76,Chokurdakh,70.6333,147.9167,40.53,62,100,14.92,RU,1630106733
77,Smolenka,52.1352,113.4974,44.67,100,24,0.0,RU,1630106733
78,Narsaq,60.9167,-46.05,44.82,65,0,3.13,GL,1630106733
79,Mataura,-46.1927,168.8643,49.48,76,97,2.82,NZ,1630106733
80,Solnechnyy,50.7214,136.6319,60.85,95,100,2.04,RU,1630106734
81,Yārāda,17.65,83.2667,79.12,100,90,2.3,IN,1630106734
82,New Norfolk,-42.7826,147.0587,46.89,88,91,2.24,AU,1630106734
83,Jiexiu,37.0244,111.9125,69.15,47,100,2.51,CN,1630106734
84,Tulum,20.2167,-87.4667,86.05,68,73,2.35,MX,1630106735
85,Cidreira,-30.1811,-50.2056,56.14,74,50,7.11,BR,1630106735
86,Avarua,-21.2078,-159.775,73.45,53,75,8.05,CK,1630106735
87,Oboyan',51.2098,36.2792,62.92,89,90,4.74,RU,1630106736
88,Kyra,49.5776,111.9753,52.66,73,29,2.91,RU,1630106736
89,Redlands,34.0556,-117.1825,108.64,12,1,4.0,US,1630106736
90,Dovers,12.8833,-61.1833,82.04,82,49,19.69,VC,1630106736
91,Kautokeino,69.0125,23.0412,43.41,82,82,0.81,NO,1630106737
92,North Bend,43.4065,-124.2243,78.24,63,1,21.85,US,1630106737
93,Vaitape,-16.5167,-151.75,77.81,76,14,8.77,PF,1630106737
94,Muros,42.7762,-9.0603,64.9,91,8,3.0,ES,1630106737
95,Punta Arenas,-53.15,-70.9167,37.51,93,90,18.41,CL,1630106693
96,Oudtshoorn,-33.5907,22.2014,39.56,65,9,3.8,ZA,1630106738
97,Kruisfontein,-34.0033,24.7314,42.89,72,63,10.69,ZA,1630106738
98,Jimma,7.6667,36.8333,59.68,98,100,2.77,ET,1630106738
99,Kumul,42.8,93.45,72.18,32,37,7.05,CN,1630106738
100,Capitão Poço,-1.7464,-47.0594,74.37,94,99,5.44,BR,1630106739
101,Fukuechō,32.6881,128.8419,80.96,94,40,5.75,JP,1630106739
102,Saint-Philippe,-21.3585,55.7679,69.39,94,99,22.01,RE,1630106739
103,Bud,39.447,-86.1758,89.44,76,64,5.82,US,1630106740
104,Yelizovo,53.1873,158.3805,57.34,100,90,0.0,RU,1630106740
105,Kirksville,40.1948,-92.5833,90.05,61,1,4.0,US,1630106740
106,Fortuna,40.5982,-124.1573,88.41,65,1,5.99,US,1630106740
107,Saint-Pierre,-21.3393,55.4781,69.48,89,75,27.63,RE,1630106741
108,Changji,44.0167,87.3167,74.19,27,0,11.18,CN,1630106741
109,Ilulissat,69.2167,-51.1,39.22,87,90,6.91,GL,1630106741
110,Bredasdorp,-34.5322,20.0403,45.28,81,72,12.66,ZA,1630106741
111,Arkhangelsk,64.5401,40.5433,41.11,87,0,4.47,RU,1630106742
112,San Quintín,30.4833,-115.95,78.96,60,29,16.04,MX,1630106742
113,Jamestown,42.097,-79.2353,78.71,88,1,1.99,US,1630106482
114,Timmins,48.4669,-81.3331,62.42,48,75,6.91,CA,1630106711
115,Dumai,1.6833,101.45,72.54,98,50,2.82,ID,1630106742
116,Saskylakh,71.9167,114.0833,35.47,86,100,15.9,RU,1630106743
117,Faanui,-16.4833,-151.75,77.83,76,13,8.77,PF,1630106743
118,Cherskiy,68.75,161.3,49.98,56,42,3.29,RU,1630106743
119,Newtownards,54.5924,-5.6909,55.35,93,0,3.44,GB,1630106743
120,Mount Gambier,-37.8333,140.7667,49.91,57,89,19.57,AU,1630106744
121,Necochea,-38.5473,-58.7368,45.03,78,30,5.93,AR,1630106744
122,Sorong,-0.8833,131.25,77.18,85,100,1.28,ID,1630106744
123,Venice,27.0998,-82.4543,84.99,82,1,1.01,US,1630106672
124,East London,-33.0153,27.9116,54.19,56,100,16.49,ZA,1630106745
125,Doha,25.2867,51.5333,93.09,75,9,4.61,QA,1630106746
126,Senador Guiomard,-10.1522,-67.7392,76.75,39,38,3.67,BR,1630106746
127,Kirkenær,60.4564,12.0582,58.03,74,99,5.41,NO,1630106536
128,Svodín,47.9105,18.4997,55.13,85,0,4.29,SK,1630106721
129,Provideniya,64.3833,-173.3,45.82,91,100,15.84,RU,1630106746
130,Sur,22.5667,59.5289,85.82,56,100,8.84,OM,1630106747
131,Nīlokheri,29.8333,76.9167,75.6,93,100,7.81,IN,1630106747
132,Salalah,17.0151,54.0924,77.09,100,90,5.75,OM,1630106747
133,Lotoshino,56.2267,35.6414,54.19,87,64,10.16,RU,1630106748
134,Lompoc,34.6391,-120.4579,98.02,67,1,16.11,US,1630106748
135,Byron Bay,-28.65,153.6167,70.05,38,0,8.52,AU,1630106467
136,Skibbereen,51.55,-9.2667,58.8,92,0,5.84,IE,1630106748
137,Pailón,-17.65,-62.75,68.9,60,61,9.69,BO,1630106748
138,Mago,53.2514,140.1822,63.37,94,100,3.65,RU,1630106749
139,Guerrero Negro,27.9769,-114.0611,87.78,47,7,13.56,MX,1630106749
140,Paragominas,-2.9667,-47.4833,81.68,67,100,5.39,BR,1630106749
141,Rabo de Peixe,37.8,-25.5833,69.31,83,40,6.91,PT,1630106750
142,Ossora,59.2353,163.0719,56.98,91,99,2.01,RU,1630106750
143,Moose Factory,51.2585,-80.6094,60.8,72,1,8.05,CA,1630106750
144,Deputatsky,69.3,139.9,39.76,92,100,4.12,RU,1630106750
145,Dikson,73.5069,80.5464,39.16,81,21,3.76,RU,1630106751
146,Yinchuan,38.4681,106.2731,65.71,39,90,10.29,CN,1630106596
147,Blythe,33.6103,-114.5964,116.04,9,20,9.22,US,1630106528
148,Taoudenni,22.6783,-3.9836,100.81,19,97,16.73,ML,1630106751
149,Guhāgar,17.4842,73.1929,76.89,88,91,1.86,IN,1630106751
150,Yantzaza,-3.8278,-78.7594,70.03,94,83,0.45,EC,1630106752
151,Caravelas,-17.7125,-39.2481,71.85,83,1,6.62,BR,1630106752
152,Roald,62.5833,6.1333,53.33,73,0,2.48,NO,1630106752
153,Srikakulam,18.3,83.9,77.07,85,100,6.69,IN,1630106752
154,Nome,64.5011,-165.4064,48.27,57,40,17.27,US,1630106753
155,Ancud,-41.8697,-73.8203,47.73,92,100,9.62,CL,1630106753
156,Bilibino,68.0546,166.4372,50.99,64,98,1.5,RU,1630106753
157,Road Town,18.4167,-64.6167,84.29,89,75,13.8,VG,1630106753
158,Thompson,55.7435,-97.8558,64.56,52,75,5.75,CA,1630106754
159,Hofn,64.2539,-15.2082,54.12,99,100,13.73,IS,1630106754
160,Plouzané,48.3833,-4.6167,59.09,87,0,5.75,FR,1630106754
161,Ambon City,-3.6954,128.1814,77.14,94,40,3.44,ID,1630106755
162,Rocha,-34.4833,-54.3333,43.18,77,5,2.28,UY,1630106755
163,Ketchikan,55.3422,-131.6461,61.39,80,100,8.08,US,1630106755
164,Muslyumovo,55.3033,53.1947,47.77,79,1,9.64,RU,1630106755
165,Xiaoweizhai,26.1903,107.5125,68.23,97,62,3.18,CN,1630106756
166,Disna,55.568,28.1971,59.16,98,100,8.63,BY,1630106756
167,Buckeye,33.3703,-112.5838,115.12,14,0,3.44,US,1630106607
168,Yellowknife,62.456,-114.3525,70.32,56,20,6.91,CA,1630106728
169,Ouésso,1.6136,16.0517,74.7,82,71,2.42,CG,1630106756
170,Srednekolymsk,67.45,153.6833,49.05,64,97,14.47,RU,1630106757
171,Bluff,-46.6,168.3333,49.8,83,99,8.23,NZ,1630106757
172,Qaanaaq,77.484,-69.3632,37.85,89,98,0.89,GL,1630106757
173,Chicama,-7.8447,-79.1469,59.54,76,59,9.55,PE,1630106758
174,Biak,-0.9131,122.8766,75.92,89,88,4.34,ID,1630106758
175,Westport,41.1415,-73.3579,85.55,81,46,1.99,US,1630106758
176,Dajabón,19.5488,-71.7083,86.25,68,44,6.17,DO,1630106758
177,Nador,35.174,-2.9287,77.25,73,0,8.05,MA,1630106759
178,Sinnamary,5.3833,-52.95,79.29,86,84,10.87,GF,1630106759
179,Ayagoz,47.9714,80.4392,62.87,32,0,5.5,KZ,1630106759
180,Concepción,-36.827,-73.0498,51.6,87,90,16.11,CL,1630106686
181,Pangnirtung,66.1451,-65.7125,41.27,99,100,4.16,CA,1630106760
182,Hargeisa,9.56,44.065,70.45,59,17,20.92,SO,1630106760
183,Haines Junction,60.7522,-137.5108,62.55,42,100,5.75,CA,1630106760
184,Banjar,-8.19,114.9675,78.66,88,93,6.06,ID,1630106760
185,Sørland,67.667,12.6934,53.83,81,83,5.55,NO,1630106534
186,Shalakusha,62.2247,40.2539,39.47,88,84,3.09,RU,1630106761
187,Casablanca,33.5928,-7.6192,70.02,81,15,6.64,MA,1630106494
188,Kalmunai,7.4167,81.8167,80.46,71,100,3.27,LK,1630106761
189,Hasaki,35.7333,140.8333,82.8,80,58,1.57,JP,1630106761
190,Alofi,-19.0595,-169.9187,73.29,49,89,13.8,NU,1630106762
191,St. Marys,30.7305,-81.5465,83.1,72,75,5.75,US,1630106762
192,Upernavik,72.7868,-56.1549,38.95,88,100,6.96,GL,1630106762
193,Wuwei,37.9281,102.6414,55.53,60,14,1.36,CN,1630106762
194,Khatanga,71.9667,102.5,36.03,95,100,21.74,RU,1630106763
195,Knysna,-34.0363,23.0471,43.18,71,17,5.84,ZA,1630106763
196,Changde,29.0464,111.6783,68.76,95,98,2.19,CN,1630106763
197,Kuytun,54.3419,101.5036,48.43,83,6,5.73,RU,1630106763
198,Belmonte,-15.8631,-38.8828,75.7,87,51,8.93,BR,1630106764
199,Moyale,3.5167,39.0584,66.09,68,12,6.02,KE,1630106764
200,Debre Sīna,9.85,39.7667,54.36,67,66,4.63,ET,1630106765
201,Isangel,-19.55,169.2667,77.11,73,75,4.61,VU,1630106765
202,Paamiut,61.994,-49.6678,44.1,78,33,6.76,GL,1630106765
203,Bethel,41.3712,-73.414,84.31,82,1,3.44,US,1630106765
204,Ardakān,32.31,54.0175,79.18,19,0,6.62,IR,1630106766
205,Lavrentiya,65.5833,-171.0,43.43,90,97,16.49,RU,1630106766
206,Sarh,9.1429,18.3923,78.71,89,20,0.0,TD,1630106766
207,Ribeira Grande,38.5167,-28.7,72.03,84,99,13.18,PT,1630106767
208,Pulandian,39.3953,121.9669,77.13,76,0,6.44,CN,1630106767
209,Porteirinha,-15.7433,-43.0283,77.92,32,29,12.86,BR,1630106767
210,Hualmay,-11.0964,-77.6139,63.66,79,81,12.17,PE,1630106767
211,Acapulco de Juárez,16.8634,-99.8901,73.22,100,90,13.8,MX,1630106476
212,Hammerfest,70.6634,23.6821,50.45,87,75,19.57,NO,1630106768
213,Palu,-0.8917,119.8707,75.9,95,99,2.55,ID,1630106768
214,Pontianak,-0.0333,109.3333,75.18,100,40,3.44,ID,1630106768
215,Zhangye,38.9342,100.4517,61.88,43,43,1.48,CN,1630106769
216,Passo Fundo,-28.2628,-52.4067,50.47,75,79,9.28,BR,1630106769
217,Schattdorf,46.8655,8.6547,60.37,91,84,1.97,CH,1630106770
218,Geraldton,-28.7667,114.6,43.21,93,2,8.05,AU,1630106770
219,Yar-Sale,66.8333,70.8333,39.61,80,94,11.65,RU,1630106770
220,Coahuayana Viejo,18.7333,-103.6833,85.48,92,100,1.83,MX,1630106771
221,Pacific Grove,36.6177,-121.9166,104.14,64,1,4.0,US,1630106704
222,São João da Barra,-21.6403,-41.0511,70.93,88,14,8.01,BR,1630106771
223,Cabo San Lucas,22.8909,-109.9124,94.6,64,75,3.0,MX,1630106764
224,Nosy Varika,-20.5833,48.5333,66.58,85,65,3.65,MG,1630106771
225,Pevek,69.7008,170.3133,38.25,77,100,13.58,RU,1630106772
226,Adré,13.4667,22.2,79.63,56,97,3.89,TD,1630106772
227,Norman Wells,65.282,-126.8329,71.64,43,20,12.66,CA,1630106772
228,Tessalit,20.1986,1.0114,90.9,27,65,6.26,ML,1630106772
229,Bhairab Bāzār,24.0667,90.9667,82.45,93,100,4.25,BD,1630106773
230,Camaná,-16.6228,-72.7111,61.16,82,78,8.12,PE,1630106773
231,Iqaluit,63.7506,-68.5145,47.93,87,90,17.27,CA,1630106773
232,Camacha,33.0833,-16.3333,69.22,78,20,6.91,PT,1630106773
233,Ahipara,-35.1667,173.1667,61.41,89,82,8.95,NZ,1630106589
234,Havelock,34.8791,-76.9013,84.43,84,57,8.1,US,1630106774
235,Atasū,48.6814,71.6433,67.46,37,2,10.07,KZ,1630106774
236,Alice Springs,-23.7,133.8833,69.35,12,22,5.75,AU,1630106600
237,Katsuura,35.1333,140.3,84.31,79,39,1.63,JP,1630106774
238,Kuminskiy,58.6667,66.5667,44.94,81,73,6.69,RU,1630106775
239,Bollnäs,61.3482,16.3946,52.12,94,99,5.21,SE,1630106775
240,Grindavik,63.8424,-22.4338,52.27,93,90,17.27,IS,1630106775
241,Loandjili,-4.7561,11.8578,73.51,88,40,6.91,CG,1630106776
242,Penzance,50.1186,-5.5371,56.77,78,1,5.95,GB,1630106776
243,Kirakira,-10.4544,161.9205,81.36,83,99,12.71,SB,1630106776
244,Tiznit Province,29.5833,-9.5,73.6,44,7,1.25,MA,1630106776
245,Lerwick,60.1545,-1.1494,53.6,85,7,5.93,GB,1630106777
246,Saint Anthony,45.0205,-93.218,75.49,90,90,3.0,US,1630106777
247,Khovd,48.0056,91.6419,50.65,79,72,2.08,MN,1630106777
248,Mackay,-21.15,149.2,69.78,88,90,6.91,AU,1630106777
249,Laguna,38.421,-121.4238,104.22,17,90,3.0,US,1630106778
250,Ondjiva,-17.0667,15.7333,64.76,28,0,14.52,AO,1630106778
251,Coyhaique,-45.5752,-72.0662,39.15,93,90,5.75,CL,1630106778
252,San Policarpo,12.1791,125.5072,80.38,83,94,3.58,PH,1630106778
253,Inzer,54.2167,57.5556,61.34,95,93,1.32,RU,1630106779
254,Aklavik,68.2191,-135.0107,63.32,48,75,4.61,CA,1630106779
255,Frankfort,-27.2667,28.4833,55.13,42,72,7.78,ZA,1630106779
256,Altamont,42.2068,-121.7372,86.77,15,1,5.01,US,1630106780
257,Innisfail,-17.5333,146.0333,74.21,83,97,3.98,AU,1630106780
258,Paphos,34.7667,32.4167,78.71,68,0,9.22,CY,1630106780
259,Saldanha,-33.0117,17.9442,44.65,67,91,14.97,ZA,1630106780
260,Okhotsk,59.3833,143.3,58.08,90,100,6.29,RU,1630106781
261,Tasiilaq,65.6145,-37.6368,46.56,99,100,2.46,GL,1630106781
262,Manoel Urbano,-8.8389,-69.2597,87.15,45,97,4.27,BR,1630106781
263,Antofagasta,-23.65,-70.4,56.48,85,23,4.88,CL,1630106782
264,Belyy Yar,53.6039,91.3903,49.89,93,0,2.24,RU,1630106782
265,Aswān,24.0934,32.907,90.7,22,0,11.5,EG,1630106782
266,Mayo,38.8876,-76.5119,84.33,92,75,1.01,US,1630106782
267,Namatanai,-3.6667,152.4333,82.69,73,98,8.81,PG,1630106783
268,Champerico,14.3,-91.9167,84.34,78,50,11.14,GT,1630106783
269,Tateyama,34.9833,139.8667,84.22,84,75,4.61,JP,1630106783
270,Nanortalik,60.1432,-45.2371,41.68,85,8,12.03,GL,1630106783
271,Puerto Madryn,-42.7692,-65.0385,53.69,47,100,21.61,AR,1630106784
272,Abū Zabad,12.35,29.25,75.83,74,21,4.12,SD,1630106784
273,Dzhebariki-Khaya,62.2167,135.8,44.02,84,100,4.72,RU,1630106784
274,Suleja,9.1758,7.1808,72.81,93,99,0.89,NG,1630106785
275,Saint-Joseph,-21.3667,55.6167,68.38,91,88,21.14,RE,1630106785
276,Ponta Delgada,37.7333,-25.6667,70.52,83,40,6.91,PT,1630106785
277,Tayu,-6.5397,111.0518,74.3,76,72,8.08,ID,1630106785
278,Seaford,50.7714,0.1027,58.44,85,34,8.01,GB,1630106732
279,Chui,-33.6971,-53.4616,48.11,77,5,6.33,UY,1630106786
280,Leshukonskoye,64.8989,45.7622,40.17,86,18,4.9,RU,1630106786
281,San Andrés,12.5847,-81.7006,82.96,72,83,9.4,CO,1630106652
282,Oxapampa,-10.5775,-75.4017,61.03,90,91,1.83,PE,1630106786
283,Kandrian,-6.2167,149.55,80.4,83,76,5.48,PG,1630106592
284,Dingle,10.9995,122.6711,78.82,86,92,3.13,PH,1630106787
285,Sabha,27.0377,14.4283,85.84,16,0,10.47,LY,1630106787
286,Port Hedland,-20.3167,118.5667,60.85,77,1,5.75,AU,1630106787
287,San Patricio,28.017,-97.5169,89.06,61,100,10.54,US,1630106788
288,Revelganj,25.7833,84.6667,76.91,91,98,6.85,IN,1630106788
289,Iisalmi,63.5592,27.1907,50.02,88,2,2.24,FI,1630106788
290,Buchanan,5.8808,-10.0467,77.32,86,89,5.93,LR,1630106788
291,Lebu,-37.6167,-73.65,48.81,94,100,22.62,CL,1630106789
292,Kologriv,58.8275,44.3178,42.37,81,32,4.74,RU,1630106789
293,Gardelegen,52.5252,11.3952,55.76,94,81,5.14,DE,1630106789
294,Abnūb,27.2696,31.1511,82.62,31,0,14.79,EG,1630106790
295,Pudozh,61.8099,36.5345,45.18,86,100,4.56,RU,1630106790
296,Dunedin,-45.8742,170.5036,47.8,89,100,7.78,NZ,1630106790
297,Karratha,-20.7377,116.8463,70.09,34,0,15.52,AU,1630106790
298,Nālūt,30.3333,10.85,88.16,15,12,3.09,LY,1630106791
299,Klaksvík,62.2266,-6.589,50.92,90,100,10.67,FO,1630106791
300,Hilo,19.7297,-155.09,84.27,76,90,0.0,US,1630106769
301,Miandrivazo,-19.5167,45.4667,71.33,76,0,1.99,MG,1630106791
302,Severo-Kuril'sk,50.6789,156.125,54.3,99,100,11.83,RU,1630106792
303,Batagay,67.6333,134.6333,37.54,96,100,9.35,RU,1630106792
304,Dudinka,69.4058,86.1778,36.25,97,100,17.0,RU,1630106792
305,Fundão,-19.9341,-40.4047,74.73,87,26,2.73,BR,1630106792
306,Aksarka,66.5606,67.7975,39.27,82,90,9.22,RU,1630106793
307,Pisco,-13.7,-76.2167,62.65,77,0,13.8,PE,1630106793
308,Sobolevo,54.4299,31.8996,57.25,92,99,6.82,RU,1630106793
309,Talnakh,69.4865,88.3972,38.3,97,100,2.28,RU,1630106794
310,Taft,31.7471,54.2088,73.35,19,0,6.91,IR,1630106794
311,Forrest City,35.0081,-90.7898,91.26,46,25,3.98,US,1630106794
312,Fallon,39.4735,-118.7774,89.92,10,40,8.05,US,1630106794
313,Leningradskiy,69.3833,178.4167,37.45,82,100,7.49,RU,1630106795
314,Gigmoto,13.7796,124.39,81.81,83,93,1.9,PH,1630106795
315,Laas,46.6166,10.7002,59.88,90,69,4.09,IT,1630106795
316,Correntina,-13.3433,-44.6367,78.35,30,40,3.4,BR,1630106795
317,Bischwiller,48.7659,7.8583,60.03,88,90,3.44,FR,1630106796
318,Honolulu,21.3069,-157.8583,89.42,52,40,1.01,US,1630106720
319,Hambantota,6.1241,81.1185,79.86,80,99,19.35,LK,1630106796
320,Chiang Khong,20.2613,100.4046,73.72,100,86,0.87,TH,1630106796
321,Ilula,-7.6766,36.0366,57.74,63,2,4.07,TZ,1630106797
322,Tura,25.5198,90.2201,72.77,98,100,4.34,IN,1630106797
323,Ocosingo,17.0667,-92.25,69.94,84,92,3.27,MX,1630106797
324,Lovington,32.944,-103.3485,91.33,34,33,4.0,US,1630106797
325,Conceição da Barra,-18.5933,-39.7322,72.52,84,2,7.56,BR,1630106798
326,Madona,56.8533,26.217,58.87,98,100,9.19,LV,1630106798
327,Mar del Plata,-38.0023,-57.5575,44.62,87,0,4.61,AR,1630106798
328,Bad Doberan,54.1071,11.9005,59.0,98,100,12.37,DE,1630106798
329,Olinda,-8.0089,-34.8553,74.93,73,75,9.22,BR,1630106656
330,Kahului,20.8947,-156.47,87.82,55,40,23.02,US,1630106776
331,Port-Gentil,-0.7193,8.7815,76.96,83,20,9.22,GA,1630106799
332,Gizo Government Station,-8.103,156.8419,83.5,74,34,9.06,SB,1630106799
333,Kachug,53.9606,105.8817,49.21,82,25,1.1,RU,1630106800
334,Vamdrup,55.4276,9.2844,60.15,88,100,9.22,DK,1630106800
335,Akdepe,42.0551,59.3788,75.2,30,25,7.87,TM,1630106800
336,Baoding,38.8511,115.4903,68.58,91,87,2.01,CN,1630106797
337,Uyemskiy,64.4743,40.8524,41.05,87,0,4.47,RU,1630106801
338,Grants Pass,42.439,-123.3284,93.18,34,1,5.01,US,1630106569
339,Merced,37.1666,-120.7516,104.43,8,0,7.99,US,1630106801
340,Meulaboh,4.1363,96.1285,75.96,90,99,4.18,ID,1630106801
341,Zhezkazgan,47.8043,67.7144,70.34,39,0,9.95,KZ,1630106801
342,Kholodnyy,62.7167,147.95,54.72,79,99,2.84,RU,1630106802
343,Esperance,-33.8667,121.9,49.84,79,100,22.53,AU,1630106802
344,Tefé,-3.3542,-64.7114,86.11,42,86,2.01,BR,1630106802
345,Beyneu,45.3167,55.2,78.37,34,0,8.05,KZ,1630106802
346,Lagoa,39.05,-27.9833,70.12,85,96,14.12,PT,1630106803
347,Sitka,57.0531,-135.33,57.09,82,90,16.11,US,1630106803
348,Touros,-5.1989,-35.4608,76.1,73,34,16.51,BR,1630106803
349,Sulangan,11.1373,123.7228,83.01,76,100,6.87,PH,1630106804
350,Sibu,2.3,111.8167,75.51,94,40,4.61,MY,1630106805
351,Maniitsoq,65.4167,-52.9,41.95,81,100,11.7,GL,1630106805
352,Lastoursville,-0.8143,12.7287,72.5,96,25,2.89,GA,1630106805
353,Clyde River,70.4692,-68.5914,39.43,93,75,5.75,CA,1630106806
354,Caucayá,-0.1934,-74.7819,74.23,97,67,3.38,CO,1630106806
355,Sechura,-5.5569,-80.8222,69.87,69,72,18.14,PE,1630106806
356,Najrān,17.4924,44.1277,83.05,23,70,3.47,SA,1630106807
357,Harper,4.375,-7.7169,76.5,89,9,7.78,LR,1630106807
358,Chernyshevskiy,63.0128,112.4714,45.95,74,62,5.41,RU,1630106807
